farmer_id,full_name,phone,email,address,municipality,ward,monthly_income,land_size_bigha,previous_grants,crop_yield,current_crops,education_level,family_size,age,farming_experience_years,credit_score,market_distance_km,has_irrigation,uses_modern_technology,social_category,has_disability,priority_score,application_status,registration_date,last_updated
FARMER_001,Kumari Magar,9813356886,kumari760@gmail.com,"Ward 4, बिराटनगर नगरपालिका",बिराटनगर नगरपालिका,4,41718,1.54,0,high,काउली,none,2,60,7,729,5.9,False,True,dalit,False,6.5,pending,2025-03-08,2025-08-21
FARMER_002,Laxmi Sherpa,9855176955,laxmi105@gmail.com,"Ward 7, मेचीनगर नगरपालिका",मेचीनगर नगरपालिका,7,57542,0.87,0,low,"लौका, खुर्सानी",none,8,48,19,496,17.76,True,True,janajati,True,6.83,pending,2025-05-02,2025-08-02
FARMER_003,Hari Khadka,9847308985,hari465@gmail.com,"Ward 14, बनेपा नगरपालिका",बनेपा नगरपालिका,14,20330,9.63,2,low,काउली,secondary,3,54,13,576,24.74,True,False,general,True,4.17,pending,2025-08-13,2025-08-04
FARMER_004,Durga Khadka,9845935572,durga68@gmail.com,"Ward 15, धरान नगरपालिका",धरान नगरपालिका,15,48935,1.2,0,high,"काउली, फर्सी, आलु",none,5,62,13,670,5.87,True,False,general,True,7.67,approved,2025-07-04,2025-08-25
FARMER_005,Kumari Limbu,9866661351,kumari611@gmail.com,"Ward 7, मेचीनगर नगरपालिका",मेचीनगर नगरपालिका,7,65675,9.66,2,average,"प्याज, मकै, आलु",bachelor,3,54,1,569,24.31,True,True,janajati,True,4.33,pending,2025-06-12,2025-08-18
FARMER_006,Rekha Limbu,9882394227,rekha977@gmail.com,"Ward 15, भक्तपुर नगरपालिका",भक्तपुर नगरपालिका,15,34627,3.86,0,high,"मकै, फर्सी, भन्टा",bachelor,8,29,25,845,19.26,True,False,other,True,8.0,approved,2025-04-16,2025-08-13
FARMER_007,Narayan Joshi,9866792612,narayan988@gmail.com,"Ward 15, धरान नगरपालिका",धरान नगरपालिका,15,21592,6.68,0,high,मकै,higher_secondary,2,62,18,535,14.92,True,True,general,True,6.33,pending,2025-07-26,2025-08-01
FARMER_008,Sita Malla,9854349361,sita73@gmail.com,"Ward 4, भक्तपुर नगरपालिका",भक्तपुर नगरपालिका,4,49041,3.87,1,average,मकै,primary,7,52,12,733,10.57,True,True,general,False,5.17,pending,2025-03-09,2025-08-04
FARMER_009,Narayan Magar,9843374088,narayan197@gmail.com,"Ward 9, धरान नगरपालिका",धरान नगरपालिका,9,12350,2.5,0,low,"लौका, धान, मकै",secondary,3,51,16,792,5.74,False,True,dalit,False,6.33,pending,2025-08-28,2025-08-17
FARMER_010,Parvati Manandhar,9871070189,parvati293@gmail.com,"Ward 12, पोखरा नगरपालिका",पोखरा नगरपालिका,12,14105,7.52,2,average,धान,none,5,57,30,843,4.36,True,True,general,True,5.17,pending,2024-09-18,2025-08-02
FARMER_011,Bishnu Khadka,9826090908,bishnu965@gmail.com,"Ward 4, धुलिखेल नगरपालिका",धुलिखेल नगरपालिका,4,37605,3.31,0,low,"प्याज, जौ, आलु",bachelor,3,67,21,607,11.7,True,True,madhesi,True,5.83,pending,2025-07-23,2025-08-12
