farmer_id,farmer_name,monthly_income,land_size_bigha,previous_grants,phone,email,municipality,ward,crop_details,is_fraudulent
FARMER_000,Farmer 1,17483.570765056164,0.8769438869243786,2,9839365614,farmer1@gmail.com,भद्रपुर नगरपालिका,10,गहुँ,False
FARMER_001,Farmer 2,14308.678494144076,2.3690320158519613,1,9899268367,farmer2@gmail.com,भद्रपुर नगरपालिका,2,धान,False
FARMER_002,Farmer 3,18238.442690503463,2.485928225209846,0,9857010676,farmer3@gmail.com,भद्रपुर नगरपालिका,5,आलु,False
FARMER_003,Farmer 4,22615.149282040125,1.7965840961675716,2,9861371106,farmer4@gmail.com,भद्रपुर नगरपालिका,9,आलु,False
FARMER_004,Farmer 5,13829.23312638332,2.7580714325009863,1,9847327243,farmer5@gmail.com,भद्रपुर नगरपालिका,4,सरसों,False
FARMER_005,Farmer 6,13829.315215254097,3.606076285221808,0,9879426200,farmer6@gmail.com,भद्रपुर नगरपालिका,6,मकै,False
FARMER_006,Farmer 7,6174.446330604505,11.723002357817219,1,9879872506,farmer7@gmail.com,भद्रपुर नगरपालिका,1,धान,True
FARMER_007,Farmer 8,18837.173645764546,3.2618667192477586,1,9820198499,farmer8@gmail.com,भद्रपुर नगरपालिका,9,मकै,False
FARMER_008,Farmer 9,12652.62807032524,3.386325586084147,1,9847342772,farmer9@gmail.com,भद्रपुर नगरपालिका,1,धान,False
FARMER_009,Farmer 10,17712.800217929824,2.8883311263507494,0,9854362902,farmer10@gmail.com,भद्रपुर नगरपालिका,5,सरसों,False
FARMER_010,Farmer 11,12682.911535937688,0.5,0,9810197775,farmer11@gmail.com,भद्रपुर नगरपालिका,4,सरसों,False
FARMER_011,Farmer 12,12671.351232148716,2.9602291868261745,0,9845940920,farmer12@gmail.com,भद्रपुर नगरपालिका,3,आलु,False
FARMER_012,Farmer 13,16209.81135783017,3.0903453149115396,0,9894673574,farmer13@gmail.com,भद्रपुर नगरपालिका,6,मकै,False
FARMER_013,Farmer 14,5433.598776711011,6.694863168727929,0,9833614649,farmer14@gmail.com,भद्रपुर नगरपालिका,2,आलु,False
FARMER_014,Farmer 15,6375.410837434836,2.7114585528283164,0,9888507230,farmer15@gmail.com,भद्रपुर नगरपालिका,3,मकै,False
FARMER_015,Farmer 16,37538.88858849815,18.014837213704883,3,9827310852,farmer16@gmail.com,भद्रपुर नगरपालिका,5,आलु,True
FARMER_016,Farmer 17,6600.383275928964,14.257248081356703,0,9888535842,farmer17@gmail.com,भद्रपुर नगरपालिका,9,गहुँ,True
FARMER_017,Farmer 18,16571.23666297637,1.246982943570702,0,9864564054,farmer18@gmail.com,भद्रपुर नगरपालिका,2,गहुँ,False
FARMER_018,Farmer 19,10459.879622393946,4.71423422177253,0,9872989020,farmer19@gmail.com,भद्रपुर नगरपालिका,10,गहुँ,False
FARMER_019,Farmer 20,7938.481493323543,4.127899549030161,1,9840773482,farmer20@gmail.com,भद्रपुर नगरपालिका,8,गहुँ,False
FARMER_020,Farmer 21,22328.243844607772,4.18654792056457,0,9888733130,farmer21@gmail.com,भद्रपुर नगरपालिका,2,धान,False
FARMER_021,Farmer 22,13871.118497567322,1.6359188178078916,0,9887273675,farmer22@gmail.com,भद्रपुर नगरपालिका,5,गहुँ,False
FARMER_022,Farmer 23,15337.641023439619,5.104191466404149,1,9812276360,farmer23@gmail.com,भद्रपुर नगरपालिका,7,सरसों,False
FARMER_023,Farmer 24,7876.259068932716,0.8972234058115784,1,9859437769,farmer24@gmail.com,भद्रपुर नगरपालिका,8,सरसों,False
FARMER_024,Farmer 25,11508.802163252432,13.588304841235026,0,9841665404,farmer25@gmail.com,भद्रपुर नगरपालिका,1,धान,True
FARMER_025,Farmer 26,15554.612948549331,6.285683438714968,0,9895218477,farmer26@gmail.com,भद्रपुर नगरपालिका,6,गहुँ,False
FARMER_026,Farmer 27,11126.057927005659,10.480946439640878,0,9867849484,farmer27@gmail.com,भद्रपुर नगरपालिका,1,गहुँ,True
FARMER_027,Farmer 28,16878.49009172836,2.150553405595842,1,9826434343,farmer28@gmail.com,भद्रपुर नगरपालिका,2,गहुँ,False
FARMER_028,Farmer 29,11996.806550405974,3.149477047631462,1,9854079273,farmer29@gmail.com,भद्रपुर नगरपालिका,1,आलु,False
